epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.8328,1.93984,3.03268,1.49942,0.24988,0.14884,0.10447,0.04779,2.083,3.03664,1.568,0.000664622,0.000664622,0.000664622
2,197.356,1.90087,2.29863,1.50586,0.45173,0.31744,0.32952,0.1569,1.8695,2.07859,1.47078,0.000672301,0.000672301,0.000672301
